,Genotype,Block,X0,X2,X4,X6,X8,X10,X12,X14,X16,X18,X20,X22,X24,X26,X28,X30,X32,X34,X36,X38,X40,X42,X44
1,129,1,0,15.19970215,770.1182425,2127.958302,3463.843235,5932.950407,8163.928912,16278.88101,22026.05728,32930.99914,39878.95188,59111.64168,75728.29384,96903.1678,173785.2513,219567.853,257545.1805,269681.3715,NA,357416.1198,388011.6403,414362.8625,415931.6167
2,78,1,0,10.13313477,678.9200295,1928.673318,3362.511888,5546.20243,6429.474011,12516.1103,18671.98967,28497.75268,45031.65091,63597.24267,84447.85631,107421.3617,200126.8491,237228.369,315897.065,338956.7904,NA,440868.0727,447614.6785,478094.7079,499585.6791
4,85,1,0,0,827.5393395,1438.905137,2587.327078,5303.007196,6824.666267,12335.40273,17032.11069,27570.57085,37977.30026,43759.9425,53117.89246,67559.29836,128531.9837,154796.5875,179819.6619,209183.2772,NA,310988.6927,316474.5205,361150.3325,388733.4598
143,85,2,0,70.93194338,984.6029284,2279.955323,4451.823875,6958.085875,11418.35403,21414.69148,25473.01195,45051.91718,52258.26486,68506.74646,91454.919,111954.2506,188568.1136,237391.9814,282741.4915,330997.5279,NA,365673.7344,399012.1688,410243.6795,414795.9541
185,129,2,0,94.57592451,947.4481009,2072.22606,4163.029534,7935.93338,12732.28384,22772.53154,28293.40113,38912.92637,56022.72443,74324.85468,88783.14914,125512.385,210925.2681,225948.737,243849.8594,286533.4497,NA,349370.239,380504.718,392352.1813,380369.9784
224,78,2,0,173.9521469,959.2700915,2349.198411,3823.56952,7420.832363,11680.12668,17295.5722,29389.46854,43724.47653,48775.84421,71073.80727,87043.62767,123576.9562,201195.1419,218778.6638,254407.6719,303241.1639,NA,347455.0114,361708.5395,390109.7289,388232.9983
306,129,3,0,NA,1626.36813,2850.788582,3803.30325,6508.850233,11935.1439,18810.47584,26567.39051,36445.50805,42403.7913,51425.65895,69236.33217,123565.8659,156731.0637,178914.9815,209221.7742,255851.3108,283992.6452,305358.501,NA,320045.1207,343470.568
328,85,3,0,NA,1263.264135,2433.6412,4306.582277,6686.180092,11718.97036,19756.23509,25241.63871,40512.27281,50560.96479,66871.93405,99277.69905,174122.1003,213668.182,219490.859,233070.6889,250211.4948,307552.8321,335222.5777,NA,378695.3573,403179.4731
342,78,3,0,NA,1347.706924,2700.480416,5085.144798,7300.923601,10938.71898,20690.17234,30514.2465,37681.75049,54962.12299,72624.17689,94251.6642,174247.2157,194698.7668,222493.6279,240837.4662,244051.9688,311758.6334,343393.5739,NA,423746.5153,440232.8716
